author,count
Ulrich Derigs,1
Hartmut Noltemeier,1
Hans Jürgen Schneider,1
Peter Kandzia,1
Margret Mangelmann,1
Hidenosuke Nishio,1
C. Henry,1
Patrick Sallé,1
F. Ermine,1
Irène Guessarian,1
Alan Mycroft,1
Piero R. Torrigiani,1
Raymond R. Devillers,1
Alberto Bertoni,1
Giancarlo Mauri,1
Pierangelo Miglioli,1
Pedro Guerreiro,1
Michel Sintzoff,1
Roberto Barbuti,1
Alberto Martelli,1
J. L. Weiner,1
Alexis Koster,1
John A. Barnden,1
Brian H. Mayoh,1
Friedemann H. Simon,1
Philippe Darondeau,1
Cyrus F. Nourani,1
Thanh-Huy Hua,1
Didier Bert,1
Ekkart Rudolph,1
Hans Seidl,1
Michael Eulenstein,1
Hans-Joachim Habermann,1
Jürgen Kirbach,1
Franz Wagner,1
G. Müller,1
L. Dumke,1
Bernd Meister,1
Jürgen C. W. Schröder,1
Klaus R. Dittrich,1
Karlheinz Hug,1
Peter Kammerer,1
Dieter Lienert,1
Hans Mau,1
Klaus Wachsmuth,1
Hermann Bense,1
J. Riedel,1
Roger M. Needham,1
H. Eigemeier,1
Christoph Knabe,1
K. Tramer,1
Ipke Wachsmuth,1
Peter Göhner,1
J.-H. Jayez,1
P. Levasseur,1
M. Liscouet,1
Eric Papon,1
Horst Niggemann,1
Anthony Jameson,1
Wolfgang Hoeppner,1
Eberhard Wegner,1
Werner Tesch,1
Michael Böhm,1
Martin Riemer,1
Karl Heinz Höhne,1
Ralf Steinbrüggen,1
Michael Payer,1
Dominique Pastre,1
Klaus-Jürgen Engelberg,1
Andreas Meier 0001,1
G. Stamon,1
Bertrand Zavidovique,1
Carl August Zehnder,1
Bertram Thurnherr,1
Michael Breder,1
Joseph Weizenbaum,1
D. Herman,1
Michel Raynal,1
Peter Liell,1
Alain Tarabout,1
Bernard Maillot,1
Irène Vatton,1
Bernd Schmidt,1
Eike Hagen Riedemann,1
Wolfgang Ballin,1
Ralf Hartmut Güting,1
Hans-Peter Kriegel,1
Knut Ripken,1
M. A. Ertel,1
Horst Kosanke,1
Raymond Schneider,1
Peter Klein,1
Friedhelm Meyer auf der Heide,1
Heinz Dieter Maas,1
Claudio Moraga,1
Edward A. Feigenbaum,1
Dietrich Seibt,1
Wilhelm Mülder,1
Horst Biller,1
Monika Blum,1
Jürgen Höhne,1
Manfred Reitenspieß,1
J. Reyes,1
G. Roehmer,1
Graham Wrightson,1
Hubert Österle,1
Bernd Breutmann,1
Rosmarie Mauer,1
M. R. King,1
N. H. Shelness,1
Walter Dosch,1
Gianfranco Mascari,1
Gerhard Jaeschke,1
Norbert Eisinger,1
Jörg H. Siekmann,1
Gert Smolka,1
E. Unvericht,1
Christoph Walther,1
Colette Rolland,1
Christian Richard,1
Theo von Bomhard,1
Norbert Ramsperger,1
Stefan Reisch,1
Peter Theobald,1
N. Bauchrowitz,1
F. Simon,1
W. A. Walker,1
Jonathan V. Post,1
Abraham Silberschatz,1
James B. Rothnie Jr.,1
Harry K. T. Wong,1
William Kent,1
David K. Jefferson,1
Nicolas Spyratos,1
K. K. Nambiar,1
